var,category,channel,data_type,agg_strategy,custom_tags
MANAGEMENT_REGION,,,categorical,auto,
COUNTRY,,,categorical,auto,
DATE,,,categorical,auto,
UPLOADS_TOTAL,,,numeric,sum,
UPLOADS_PRIVATE,,,numeric,sum,
UPLOADS_COMMERCIAL,,,numeric,sum,
UPLOAD_VALUE,,,numeric,sum,
GMV,,,numeric,sum,
BOOKINGS,,,numeric,sum,
GA_SUPPLY_COST,paid_media_spends,ga,numeric,sum,
GA_DEMAND_COST,paid_media_spends,ga,numeric,sum,
GA_OTHER_COST,paid_media_spends,ga,numeric,sum,
GA_COMPETITOR_COST,paid_media_spends,ga,numeric,sum,
GA_BRAND_COST,paid_media_spends,ga,numeric,sum,
GA_APP_COST,paid_media_spends,ga,numeric,sum,
BING_SUPPLY_COST,paid_media_spends,bing,numeric,sum,
BING_DEMAND_COST,paid_media_spends,bing,numeric,sum,
BING_OTHER_COST,paid_media_spends,bing,numeric,sum,other
BING_COMPETITOR_COST,paid_media_spends,bing,numeric,sum,other
BING_BRAND_COST,paid_media_spends,bing,numeric,sum,"other, campaign"
BING_APP_COST,paid_media_spends,bing,numeric,sum,"other, campaign"
META_DEMAND_COST,paid_media_spends,meta,numeric,sum,
META_SUPPLY_COST,paid_media_spends,meta,numeric,sum,
META_OTHER_COST,paid_media_spends,meta,numeric,sum,
PARTNERSHIP_COSTS,paid_media_spends,partnership,numeric,sum,
GA_SUPPLY_SESSIONS,paid_media_vars,ga,numeric,sum,
GA_DEMAND_SESSIONS,paid_media_vars,ga,numeric,sum,
GA_OTHER_SESSIONS,paid_media_vars,ga,numeric,sum,
GA_COMPETITOR_SESSIONS,paid_media_vars,ga,numeric,sum,
GA_BRAND_SESSIONS,paid_media_vars,ga,numeric,sum,
GA_APP_SESSIONS,paid_media_vars,ga,numeric,sum,
BING_SUPPLY_SESSIONS,paid_media_vars,bing,numeric,sum,
BING_DEMAND_SESSIONS,paid_media_vars,bing,numeric,sum,
