MARKET_NAME,DATE,FB_LOWER_IMPRESSIONS,FB_UPPER_IMPRESSIONS,FB_APP_IMPRESSIONS,FB_LOWER_CLICKS,FB_UPPER_CLICKS,FB_APP_CLICKS,FB_LOWER_COST,FB_UPPER_COST,FB_APP_COST,FB_VIDEO_IMPRESSIONS,FB_STATIC_IMPRESSIONS,FB_VIDEO_CLICKS,FB_STATIC_CLICKS,FB_VIDEO_COST,FB_STATIC_COST,FB_TOTAL_IMPRESSIONS,FB_TOTAL_CLICKS,FB_TOTAL_COST,PMAX_LOCAL,GOOGLE_SEARCH_NONBRAND_IMPRESSIONS,GOOGLE_SEARCH_BRAND_IMPRESSIONS,GOOGLE_PMAX_IMPRESSIONS,GOOGLE_DISPLAY_IMPRESSIONS,GOOGLE_YOUTUBE_IMPRESSIONS,GOOGLE_SEARCH_NONBRAND_CLICKS,GOOGLE_SEARCH_BRAND_CLICKS,GOOGLE_PMAX_CLICKS,GOOGLE_DISPLAY_CLICKS,GOOGLE_YOUTUBE_CLICKS,GOOGLE_SEARCH_NONBRAND_COST,GOOGLE_SEARCH_BRAND_COST,GOOGLE_PMAX_COST,GOOGLE_DISPLAY_COST,GOOGLE_YOUTUBE_COST,GOOGLE_SEARCH_NONBRAND_IMPRESSIONS_2,GOOGLE_PMAX_IMPRESSIONS_2,GOOGLE_OTHER_IMPRESSIONS_2,GOOGLE_SEARCH_NONBRAND_CLICKS_2,GOOGLE_PMAX_CLICKS_2,GOOGLE_OTHER_CLICKS_2,GOOGLE_SEARCH_NONBRAND_COST_2,GOOGLE_PMAX_COST_2,GOOGLE_OTHER_COST_2,GOOGLE_TOTAL_IMPRESSIONS,GOOGLE_TOTAL_CLICKS,GOOGLE_TOTAL_COST,BING_SEARCH_BRAND_IMPRESSIONS,BING_SEARCH_NONBRAND_IMPRESSIONS,BING_OTHER_IMPRESSIONS,BING_SEARCH_BRAND_CLICKS,BING_SEARCH_NONBRAND_CLICKS,BING_OTHER_CLICKS,BING_SEARCH_BRAND_COST,BING_SEARCH_NONBRAND_COST,BING_OTHER_COST,BING_TOTAL_IMPRESSIONS,BING_TOTAL_CLICKS,BING_TOTAL_COST,GMV_NET_EUR,GMV_GROSS_EUR,BOOKINGS,ACTIVE_INCL_HIDDEN_VEHICLES,ACTIVE_VEHICLE_LOCATIONS,ACTIVE_VEHICLES,ACTIVE_VEHICLES_CAR,ACTIVE_VEHICLES_VAN,ACTIVE_VEHICLES_MINIBUS,ACTIVE_VEHICLES_MOVINGTRUCK,ACTIVE_VEHICLES_OTHERS,OCCUPANCY_RATE,OCCUPANCY_RATE_CAR,OCCUPANCY_RATE_VAN,OCCUPANCY_RATE_MINIBUS,OCCUPANCY_RATE_MOVINGTRUCK,OCCUPANCY_RATE_7D,OCCUPANCY_RATE_CAR_7D,OCCUPANCY_RATE_VAN_7D,OCCUPANCY_RATE_MINIBUS_7D,OCCUPANCY_RATE_MOVINGTRUCK_7D,OCCUPANCY_RATE_30D,OCCUPANCY_RATE_CAR_30D,OCCUPANCY_RATE_VAN_30D,OCCUPANCY_RATE_MINIBUS_30D,OCCUPANCY_RATE_MOVINGTRUCK_30D,AVAILABILITY_RATE,AVAILABILITY_RATE_CAR,AVAILABILITY_RATE_VAN,AVAILABILITY_RATE_MINIBUS,AVAILABILITY_RATE_MOVINGTRUCK,CRM_EMAIL_NEWSLETTER_SENDS,CRM_EMAIL_NEWSLETTER_OPENS,CRM_EMAIL_NEWSLETTER_CLICKS,CRM_EMAIL_JOURNEY_SENDS,CRM_EMAIL_JOURNEY_OPENS,CRM_EMAIL_JOURNEY_CLICKS,CRM_EMAIL_TOTAL_SENDS,CRM_EMAIL_TOTAL_OPENS,CRM_EMAIL_TOTAL_CLICKS,CRM_EMAIL_UNSUBSCRIBES,CRM_REACHABLE_AUDIENCE,CRM_CUMULATIVE_USERS,CRM_CUMULATIVE_UNSUBSCRIBES,IS_HOLIDAY,IS_LONG_WEEKEND,IS_BRIDGE_DAY,IS_SCHOOL_HOLIDAY,HOLIDAY_NAMES,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_MEAN,PRECIPITATION_MM,SNOWFALL_CM,SNOW_DEPTH_M,WINDSPEED_MAX_KMH,SUNSHINE_HOURS,WEATHER_CODE,WEATHER_CONDITION,WEATHER_BUCKET,IS_FREEZING,IS_HOT,IS_SNOWING,IS_RAINING,IS_DRY,SESSIONS,NEW_USERS,TOTAL_USERS,ACTIVE_1DAY_USERS,N_LOCATIONS_ON_MARKETING,N_LOCATIONS,N_PARTNERS,N_PARTNERS_ON_MARKETING,AVG_BASE_PRICE,AVG_BASE_CAR_PRICE,AVG_PRICE,AVG_CAR_PRICE,SEO_BRAND_CLICKS_MONTH,SEO_BRAND_IMPRESSIONS_MONTH
Belgium,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2609,26,0,0,0,420,14,0,0,0,331.87000000,3.27000000,0.00000000,0.00000000,0.00000000,2609,0,26,420,0,14,331.87000000,0.00000000,3.27000000,2635,434,335.14000000,,,,,,,,,,,,,851.100000000000,940.100000000000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,2,1,3,2,1,0,1322,1335,13,1,0,0,1,New Year's Day | New Year's Day,8.4,5.7,6.6,3.7,0.35,0.00,36.2,4.30,73,snow,snow,0,0,1,0,0,548,359,488,474,,,,,,,,,80,1098
Denmark,2024-01-01,44606,10073,2364,141,6,6,212.346666667,11.356,13.626666667,31288,25755,110,43,132.965333333,104.364,57043,153,237.329333333,1,2706,0,4473,0,0,641,0,101,0,0,968.72800001,0.00000000,97.95466667,0.00000000,0.00000000,2706,4473,0,641,101,0,968.72800001,97.95466667,0.00000000,7179,742,1066.68266668,27,214,11,8,12,0,2.944,23.64,0,252,20,26.584,23504.212000030000,23584.078666700000,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,35,25,6,35,25,6,15,158240,180991,22751,1,0,0,0,New Year's Eve | New Year's Eve,6.2,3.8,5.1,4.6,0.00,0.00,18.6,1.43,53,drizzle,rain,0,0,0,1,0,2408,1151,1982,1837,,,,,,,,,8868,12851
Germany,2024-01-01,,,,,,,,,,,,,,,,,,,1,4382,34,182,0,0,297,6,13,0,0,296.25000000,1.06000000,6.33000000,0.00000000,0.00000000,4382,182,34,297,13,6,296.25000000,6.33000000,1.06000000,4598,316,303.64000000,,,,,,,,,,,,,197.000000000000,197.000000000000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,0,1288,1319,31,1,0,0,1,New Year's Day | New Year's Day,6.6,3.7,5.3,0.4,0.00,0.00,25.8,2.77,51,light_drizzle,rain,0,0,0,0,1,349,258,323,316,,,,,,,,,245,628
Netherlands,2024-01-01,16396,51017,0,94,22,0,84.29,29.99,0,27646,39767,48,68,45.23,69.05,67413,116,114.28,1,6845,211,3053,0,0,1140,109,195,0,0,1246.05000000,8.41000000,188.98000000,0.00000000,0.00000000,6845,3053,211,1140,195,109,1246.05000000,188.98000000,8.41000000,10109,1444,1443.44000000,0,60,1332,0,6,3,0,9.72,2.51,1392,9,12.23,13560.450000000000,13727.450000000000,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,9,6,4,9,6,4,1,17987,18945,958,1,0,0,1,New Year's Day | New Year's Day,8.4,5.2,6.8,3.2,0.00,0.00,31.7,5.76,53,drizzle,rain,0,0,0,1,0,2582,1490,2197,2082,,,,,,,,,387,3372
Norway,2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,New Year's Day | New Year's Day,-3.7,-5.7,-4.8,13.4,9.38,0.51,22.4,0.00,73,snow,snow,1,0,1,0,0,,,,,,,,,,,,,,
Spain,2024-01-01,0,217400,0,0,146,0,0,55.36,0,38356,179044,27,119,9.86,45.5,217400,146,55.36,1,4959,36,13509,0,0,893,22,492,0,0,691.77000000,3.23000000,146.72000000,0.00000000,0.00000000,4959,13509,36,893,492,22,691.77000000,146.72000000,3.23000000,18504,1407,841.72000000,1,1139,322,0,34,2,0,7.41,0.19,1462,36,7.6,1149.850000000000,1455.850000000000,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10891,11026,135,1,0,0,1,New Year's Day | New Year's Day,8.6,0.9,4.0,0.0,0.00,0.00,15.8,8.29,3,overcast,cloudy,0,0,0,0,1,1146,813,1047,1021,,,,,,,,,166,604
Sweden,2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,New Year's Eve | New Year's Eve,-2.7,-4.9,-3.4,0.3,0.21,0.16,18.4,0.00,71,light_snow,snow,1,0,1,0,1,,,,,,,,,,,,,,
USA,2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,New Year's Day | New Year's Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2024-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4444,78,0,0,0,743,30,0,0,0,610.40000000,4.88000000,0.00000000,0.00000000,0.00000000,4444,0,78,743,0,30,610.40000000,0.00000000,4.88000000,4522,773,615.28000000,,,,,,,,,,,,,2303.030000000000,2303.030000000000,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,11,8,3,11,8,3,1,1332,1346,14,0,0,0,1,New Year's Day | New Year's Day,11.4,7.3,9.9,22.4,0.00,0.00,43.0,0.00,63,rain,rain,0,0,0,1,0,913,576,803,779,,,,,,,,,80,1098
Denmark,2024-01-02,33196,8778,1557,95,7,3,207.564,11.154666667,13.232,21908,21623,60,45,113.641333333,118.309333333,43531,105,231.950666667,1,4918,0,5237,0,0,1133,0,141,0,0,1878.17866666,0.00000000,151.97733333,0.00000000,0.00000000,4918,5237,0,1133,141,0,1878.17866666,151.97733333,0.00000000,10155,1274,2030.15599999,48,532,19,25,45,0,11.761333333,64.054666667,0,599,70,75.816,84264.709333400000,109099.930666750000,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,86,7,39,29,6,149,115,13,39,158230,181016,22786,0,0,0,0,New Year's Eve | New Year's Eve,5.1,3.0,3.9,9.5,0.00,0.00,38.1,0.00,61,light_rain,rain,0,0,0,1,0,4250,1995,3410,3171,,,,,,,,,8868,12851
