MARKET_NAME,DATE,FB_LOWER_IMPRESSIONS,FB_UPPER_IMPRESSIONS,FB_APP_IMPRESSIONS,FB_LOWER_CLICKS,FB_UPPER_CLICKS,FB_APP_CLICKS,FB_LOWER_COST,FB_UPPER_COST,FB_APP_COST,FB_VIDEO_IMPRESSIONS,FB_STATIC_IMPRESSIONS,FB_VIDEO_CLICKS,FB_STATIC_CLICKS,FB_VIDEO_COST,FB_STATIC_COST,FB_TOTAL_IMPRESSIONS,FB_TOTAL_CLICKS,FB_TOTAL_COST,PMAX_LOCAL,GOOGLE_SEARCH_NONBRAND_IMPRESSIONS,GOOGLE_SEARCH_BRAND_IMPRESSIONS,GOOGLE_PMAX_IMPRESSIONS,GOOGLE_DISPLAY_IMPRESSIONS,GOOGLE_YOUTUBE_IMPRESSIONS,GOOGLE_SEARCH_NONBRAND_CLICKS,GOOGLE_SEARCH_BRAND_CLICKS,GOOGLE_PMAX_CLICKS,GOOGLE_DISPLAY_CLICKS,GOOGLE_YOUTUBE_CLICKS,GOOGLE_SEARCH_NONBRAND_COST,GOOGLE_SEARCH_BRAND_COST,GOOGLE_PMAX_COST,GOOGLE_DISPLAY_COST,GOOGLE_YOUTUBE_COST,GOOGLE_SEARCH_NONBRAND_IMPRESSIONS_2,GOOGLE_PMAX_IMPRESSIONS_2,GOOGLE_OTHER_IMPRESSIONS_2,GOOGLE_SEARCH_NONBRAND_CLICKS_2,GOOGLE_PMAX_CLICKS_2,GOOGLE_OTHER_CLICKS_2,GOOGLE_SEARCH_NONBRAND_COST_2,GOOGLE_PMAX_COST_2,GOOGLE_OTHER_COST_2,GOOGLE_TOTAL_IMPRESSIONS,GOOGLE_TOTAL_CLICKS,GOOGLE_TOTAL_COST,BING_SEARCH_BRAND_IMPRESSIONS,BING_SEARCH_NONBRAND_IMPRESSIONS,BING_OTHER_IMPRESSIONS,BING_SEARCH_BRAND_CLICKS,BING_SEARCH_NONBRAND_CLICKS,BING_OTHER_CLICKS,BING_SEARCH_BRAND_COST,BING_SEARCH_NONBRAND_COST,BING_OTHER_COST,BING_TOTAL_IMPRESSIONS,BING_TOTAL_CLICKS,BING_TOTAL_COST,GMV_NET_EUR,GMV_GROSS_EUR,BOOKINGS,ACTIVE_INCL_HIDDEN_VEHICLES,ACTIVE_VEHICLE_LOCATIONS,ACTIVE_VEHICLES,ACTIVE_VEHICLES_CAR,ACTIVE_VEHICLES_VAN,ACTIVE_VEHICLES_MINIBUS,ACTIVE_VEHICLES_MOVINGTRUCK,ACTIVE_VEHICLES_OTHERS,OCCUPANCY_RATE,OCCUPANCY_RATE_CAR,OCCUPANCY_RATE_VAN,OCCUPANCY_RATE_MINIBUS,OCCUPANCY_RATE_MOVINGTRUCK,OCCUPANCY_RATE_7D,OCCUPANCY_RATE_CAR_7D,OCCUPANCY_RATE_VAN_7D,OCCUPANCY_RATE_MINIBUS_7D,OCCUPANCY_RATE_MOVINGTRUCK_7D,OCCUPANCY_RATE_30D,OCCUPANCY_RATE_CAR_30D,OCCUPANCY_RATE_VAN_30D,OCCUPANCY_RATE_MINIBUS_30D,OCCUPANCY_RATE_MOVINGTRUCK_30D,AVAILABILITY_RATE,AVAILABILITY_RATE_CAR,AVAILABILITY_RATE_VAN,AVAILABILITY_RATE_MINIBUS,AVAILABILITY_RATE_MOVINGTRUCK,CRM_EMAIL_NEWSLETTER_SENDS,CRM_EMAIL_NEWSLETTER_OPENS,CRM_EMAIL_NEWSLETTER_CLICKS,CRM_EMAIL_JOURNEY_SENDS,CRM_EMAIL_JOURNEY_OPENS,CRM_EMAIL_JOURNEY_CLICKS,CRM_EMAIL_TOTAL_SENDS,CRM_EMAIL_TOTAL_OPENS,CRM_EMAIL_TOTAL_CLICKS,CRM_EMAIL_UNSUBSCRIBES,CRM_REACHABLE_AUDIENCE,CRM_CUMULATIVE_USERS,CRM_CUMULATIVE_UNSUBSCRIBES,IS_HOLIDAY,IS_LONG_WEEKEND,IS_BRIDGE_DAY,IS_SCHOOL_HOLIDAY,HOLIDAY_NAMES,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_MEAN,PRECIPITATION_MM,SNOWFALL_CM,SNOW_DEPTH_M,WINDSPEED_MAX_KMH,SUNSHINE_HOURS,WEATHER_CODE,WEATHER_CONDITION,WEATHER_BUCKET,IS_FREEZING,IS_HOT,IS_SNOWING,IS_RAINING,IS_DRY,SESSIONS,NEW_USERS,TOTAL_USERS,ACTIVE_1DAY_USERS,N_LOCATIONS_ON_MARKETING,N_LOCATIONS,N_PARTNERS,N_PARTNERS_ON_MARKETING,AVG_BASE_PRICE,AVG_BASE_CAR_PRICE,AVG_PRICE,AVG_CAR_PRICE,SEO_BRAND_CLICKS_MONTH,SEO_BRAND_IMPRESSIONS_MONTH
Belgium,2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2609.0,26.0,0.0,0.0,0.0,420.0,14.0,0.0,0.0,0.0,331.87,3.27,0.0,0.0,0.0,2609.0,0.0,26.0,420.0,0.0,14.0,331.87,0.0,3.27,2635.0,434.0,335.14,,,,,,,,,,,,,851.1,940.1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,New Year's Day | New Year's Day,8.4,5.7,6.6,3.7,0.35,0.0,36.2,4.3,73.0,snow,snow,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,80.0,1098.0
Denmark,2024-01-01,44606.0,10073.0,2364.0,141.0,6.0,6.0,212.346666667,11.356,13.626666667,31288.0,25755.0,110.0,43.0,132.965333333,104.364,57043.0,153.0,237.329333333,1.0,2706.0,0.0,4473.0,0.0,0.0,641.0,0.0,101.0,0.0,0.0,968.72800001,0.0,97.95466667,0.0,0.0,2706.0,4473.0,0.0,641.0,101.0,0.0,968.72800001,97.95466667,0.0,7179.0,742.0,1066.68266668,27.0,214.0,11.0,8.0,12.0,0.0,2.944,23.64,0.0,252.0,20.0,26.584,23504.21200003,23584.0786667,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,New Year's Eve | New Year's Eve,6.2,3.8,5.1,4.6,0.0,0.0,18.6,1.43,53.0,drizzle,rain,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,8868.0,12851.0
Germany,2024-01-01,,,,,,,,,,,,,,,,,,,1.0,4382.0,34.0,182.0,0.0,0.0,297.0,6.0,13.0,0.0,0.0,296.25,1.06,6.33,0.0,0.0,4382.0,182.0,34.0,297.0,13.0,6.0,296.25,6.33,1.06,4598.0,316.0,303.64,,,,,,,,,,,,,197.0,197.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,New Year's Day | New Year's Day,6.6,3.7,5.3,0.4,0.0,0.0,25.8,2.77,51.0,light_drizzle,rain,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,245.0,628.0
Netherlands,2024-01-01,16396.0,51017.0,0.0,94.0,22.0,0.0,84.29,29.99,0.0,27646.0,39767.0,48.0,68.0,45.23,69.05,67413.0,116.0,114.28,1.0,6845.0,211.0,3053.0,0.0,0.0,1140.0,109.0,195.0,0.0,0.0,1246.05,8.41,188.98,0.0,0.0,6845.0,3053.0,211.0,1140.0,195.0,109.0,1246.05,188.98,8.41,10109.0,1444.0,1443.44,0.0,60.0,1332.0,0.0,6.0,3.0,0.0,9.72,2.51,1392.0,9.0,12.23,13560.45,13727.45,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,New Year's Day | New Year's Day,8.4,5.2,6.8,3.2,0.0,0.0,31.7,5.76,53.0,drizzle,rain,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,387.0,3372.0
Norway,2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,New Year's Day | New Year's Day,-3.7,-5.7,-4.8,13.4,9.38,0.51,22.4,0.0,73.0,snow,snow,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
Spain,2024-01-01,0.0,217400.0,0.0,0.0,146.0,0.0,0.0,55.36,0.0,38356.0,179044.0,27.0,119.0,9.86,45.5,217400.0,146.0,55.36,1.0,4959.0,36.0,13509.0,0.0,0.0,893.0,22.0,492.0,0.0,0.0,691.77,3.23,146.72,0.0,0.0,4959.0,13509.0,36.0,893.0,492.0,22.0,691.77,146.72,3.23,18504.0,1407.0,841.72,1.0,1139.0,322.0,0.0,34.0,2.0,0.0,7.41,0.19,1462.0,36.0,7.6,1149.85,1455.85,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,New Year's Day | New Year's Day,8.6,0.9,4.0,0.0,0.0,0.0,15.8,8.29,3.0,overcast,cloudy,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,166.0,604.0
Sweden,2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,New Year's Eve | New Year's Eve,-2.7,-4.9,-3.4,0.3,0.21,0.16,18.4,0.0,71.0,light_snow,snow,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,
USA,2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,New Year's Day | New Year's Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2024-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4444.0,78.0,0.0,0.0,0.0,743.0,30.0,0.0,0.0,0.0,610.4,4.88,0.0,0.0,0.0,4444.0,0.0,78.0,743.0,0.0,30.0,610.4,0.0,4.88,4522.0,773.0,615.28,,,,,,,,,,,,,2303.03,2303.03,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,New Year's Day | New Year's Day,11.4,7.3,9.9,22.4,0.0,0.0,43.0,0.0,63.0,rain,rain,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,80.0,1098.0
Denmark,2024-01-02,33196.0,8778.0,1557.0,95.0,7.0,3.0,207.564,11.154666667,13.232,21908.0,21623.0,60.0,45.0,113.641333333,118.309333333,43531.0,105.0,231.950666667,1.0,4918.0,0.0,5237.0,0.0,0.0,1133.0,0.0,141.0,0.0,0.0,1878.17866666,0.0,151.97733333,0.0,0.0,4918.0,5237.0,0.0,1133.0,141.0,0.0,1878.17866666,151.97733333,0.0,10155.0,1274.0,2030.15599999,48.0,532.0,19.0,25.0,45.0,0.0,11.761333333,64.054666667,0.0,599.0,70.0,75.816,84264.7093334,109099.93066675,449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,New Year's Eve | New Year's Eve,5.1,3.0,3.9,9.5,0.0,0.0,38.1,0.0,61.0,light_rain,rain,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,8868.0,12851.0
